Date,Open,High,Low,Close
12-08-2002,38.72,40,38.72,39.7
13-08-2002,39.75,40.39,38.88,39.16
14-08-2002,39.25,39.25,35.72,36.46
16-08-2002,36.28,38,35.75,36.38
19-08-2002,36.67,36.67,35.14,35.47
20-08-2002,35.72,38.72,35.49,36.46
21-08-2002,38.47,39.2,36.53,38.25
22-08-2002,39.51,41.58,39.31,39.9
23-08-2002,40.25,43.63,39.76,42.3
26-08-2002,42.97,43.25,41.81,42.15
27-08-2002,42.5,44.25,40.75,41.1
28-08-2002,40.97,41.6,40.29,41.14
29-08-2002,40.89,41.88,40.75,41.14
30-08-2002,41.26,45.13,41.25,44.05
02-09-2002,44.75,45.97,44.05,44.5
03-09-2002,44.75,44.94,42,42.41
04-09-2002,41.88,43.75,41.39,43.34
05-09-2002,44.66,44.86,42.5,43.08
06-09-2002,43.25,43.25,41.01,41.47
09-09-2002,39.5,42.69,39.5,40.94
11-09-2002,41.16,42.7,41.16,41.97
12-09-2002,42.49,43.22,41.9,42.19
13-09-2002,40.71,42.22,40.64,40.99
16-09-2002,41.38,41.6,39.88,40.19
17-09-2002,40.91,41.63,40.78,41.36
18-09-2002,41.13,41.25,39.75,40.09
19-09-2002,39.75,41.08,39.25,39.75
20-09-2002,38.33,39.67,38.16,39.1
23-09-2002,39.38,39.47,38.28,38.44
24-09-2002,38.3,38.3,36.72,37.14
25-09-2002,36.28,37.75,36,37.42
26-09-2002,38.2,38.61,37.75,38.01
27-09-2002,37.89,39,37.89,38.47
30-09-2002,37.89,38.47,36.28,37.08
01-10-2002,37.25,37.75,36.13,36.76
03-10-2002,37.25,39.75,37.25,37.75
04-10-2002,38.25,38.36,37.13,37.51
07-10-2002,37.76,38,37.03,37.35
08-10-2002,37.46,38.72,37.25,38.36
09-10-2002,38.5,39.11,37.06,37.39
10-10-2002,38.5,38.5,36.64,37.42
11-10-2002,38.47,38.94,38.11,38.21
14-10-2002,38.92,39,37.58,37.94
16-10-2002,42.78,42.78,37.78,38.01
17-10-2002,38.25,38.25,37.53,38.01
18-10-2002,38.75,39.92,38.29,38.81
21-10-2002,39.72,40.74,39.25,39.41
22-10-2002,39.75,39.75,37.75,37.99
23-10-2002,38.25,38.7,37.53,37.81
24-10-2002,38.22,38.35,36.9,37.15
25-10-2002,36.5,37.09,36.28,36.39
28-10-2002,36.13,36.5,35.55,35.85
29-10-2002,35.75,36.45,35.55,36.16
30-10-2002,36.5,37.44,36.25,36.78
31-10-2002,37,37.5,36.8,37.35
01-11-2002,37.53,38.15,36.76,36.96
04-11-2002,37.5,37.5,36.95,37.24
05-11-2002,36.89,37.33,36.6,36.84
07-11-2002,37.5,39.5,37.5,37.97
08-11-2002,37.25,37.74,37.03,37.31
11-11-2002,37.5,37.5,36.67,36.75
12-11-2002,36.5,37.5,36.5,36.94
13-11-2002,37.13,37.22,36.42,36.63
14-11-2002,37.2,37.9,36.64,37.13
15-11-2002,37.95,38.16,37.5,37.92
18-11-2002,38.25,38.74,37.84,38.31
20-11-2002,38.25,39.88,38.25,39.58
21-11-2002,40.31,44.72,40.31,43
22-11-2002,41.39,45.17,41.39,42.34
25-11-2002,42.75,43.2,41.75,42.26
26-11-2002,42.63,43.45,41.78,42.01
27-11-2002,42.75,42.75,40.89,41.13
28-11-2002,41.53,43.72,41.51,42.8
02-12-2002,44.88,49,44.47,47.39
03-12-2002,48.5,52.42,46.78,50.1
04-12-2002,49.22,51.19,47.76,48.42
05-12-2002,48.13,51.11,48.13,49.65
06-12-2002,50.5,51.67,49.64,50.95
09-12-2002,50.75,51.72,48.03,48.5
10-12-2002,47.63,50.5,47.28,49.61
11-12-2002,51,53.99,50.75,51.95
12-12-2002,52,54,52,52.38
13-12-2002,53,53.67,52.28,52.59
16-12-2002,53.25,53.67,50.03,50.33
17-12-2002,51.28,51.28,48.9,49.4
18-12-2002,49.95,50.72,48.6,48.94
19-12-2002,49.92,54.38,49.38,53.08
20-12-2002,53.75,54.95,52.5,53.51
23-12-2002,53.75,53.76,51.25,51.61
24-12-2002,51.75,54,51.56,53.74
26-12-2002,54.15,55.95,53.25,55.26
27-12-2002,55.65,55.88,53.79,54.01
30-12-2002,54,57.72,52.76,57.15
31-12-2002,57.53,61.09,56,60.11
01-01-2003,59.99,61.97,59.99,61.09
02-01-2003,61.53,62.92,57.91,58.3
03-01-2003,60,61.05,58.5,59.01
06-01-2003,59.92,60.19,56.88,57.26
07-01-2003,58,58.5,56.06,56.6
08-01-2003,57.35,59.15,56.92,58.63
09-01-2003,59,60.15,58.45,59.2
10-01-2003,60,60,55.26,55.58
13-01-2003,56.22,56.75,54.25,56.14
14-01-2003,56.72,58.63,56.5,56.89
15-01-2003,57.35,58.63,57.03,58.03
16-01-2003,58.46,60.2,57.53,58.85
17-01-2003,58.13,59,57.28,57.53
20-01-2003,57.25,57.47,55.28,55.69
21-01-2003,55.76,56.56,54,54.24
22-01-2003,54.7,55.75,54.08,54.47
23-01-2003,53.75,54.47,51.78,52.47
24-01-2003,52.63,53.47,49.89,50.6
27-01-2003,48,49.97,46.28,47.08
28-01-2003,48.14,50.75,46.25,50.36
29-01-2003,50.53,51.25,48.55,48.94
30-01-2003,48.78,51.1,48.78,49.69
31-01-2003,48.75,50.11,48.17,48.49
03-02-2003,48.81,52.47,48.63,52.19
04-02-2003,52.25,53.47,50.01,50.55
05-02-2003,49.75,50.5,48.84,49.61
06-02-2003,49.69,50.9,49.13,50.61
07-02-2003,50.14,51.91,49.56,50.13
10-02-2003,49.5,50.22,48.3,48.46
11-02-2003,48.5,49.74,47.75,48.03
12-02-2003,48.53,48.75,47.03,47.39
14-02-2003,45.64,47.85,44.56,44.99
17-02-2003,46.25,48,45.79,47.85
18-02-2003,48.6,49,47.33,47.56
19-02-2003,48.25,48.46,47.41,47.59
20-02-2003,46.4,47.74,45.83,47.44
21-02-2003,47.5,47.95,46.42,46.61
24-02-2003,47.74,47.74,46.5,46.9
25-02-2003,45.39,47,45.39,45.8
26-02-2003,46.28,46.95,44.65,45
27-02-2003,44.75,46.45,44.7,45.69
28-02-2003,47.39,48.5,46.05,48.05
03-03-2003,46.28,48.99,46.28,47.53
04-03-2003,47,47,46,46.34
05-03-2003,45.83,47,44.94,46.53
06-03-2003,46.9,46.9,45,45.26
07-03-2003,45.97,45.97,43.81,44
10-03-2003,43.84,44.25,40.38,41.03
11-03-2003,40,43.45,39.58,42.01
12-03-2003,43.17,43.17,41.2,41.39
13-03-2003,42.21,42.72,41,41.92
17-03-2003,40.78,43,40.28,41.8
19-03-2003,42.88,43.25,41.31,41.71
20-03-2003,41.88,43,41,42.72
24-03-2003,43.38,43.75,41.25,41.59
25-03-2003,42.47,42.47,40.13,40.99
26-03-2003,42.25,42.25,40.13,40.8
27-03-2003,40.47,41,40,40.41
28-03-2003,41.5,41.5,40,40.17
31-03-2003,32.47,39.71,32.47,38.39
06-05-2004,118.63,122.5,113.8,115.89
07-05-2004,116.25,116.25,111.1,111.82
10-05-2004,111,112,109.51,111.1
11-05-2004,114,114,103.75,105.31
12-05-2004,102.25,108.75,91.5,98.45
13-05-2004,90.01,100,88.75,95.82
14-05-2004,97.5,98.75,87.5,89.04
17-05-2004,85,85,71.53,74.54
18-05-2004,80.25,82.5,75,80.04
19-05-2004,84.5,88.5,82.13,85.55
20-05-2004,86.25,86.25,82.5,83.51
21-05-2004,81.28,82.5,79.03,80.79
24-05-2004,80.75,89.99,80.75,89.59
25-05-2004,87.75,87.75,83,86
26-05-2004,88.75,90,86,86.72
27-05-2004,87.5,89.36,86.45,86.99
28-05-2004,87.5,87.5,82.5,83.15
31-05-2004,79.13,81.22,77.7,79.21
01-06-2004,82.46,84.75,79.39,80.11
02-06-2004,82.13,82.13,79.78,80
03-06-2004,82,83.35,78.3,78.68
04-06-2004,81.24,81.25,77.25,78.46
07-06-2004,80,80,78.25,79.22
